name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J225153-314619      	 -.-.-     	 UVES      	   1.762	    2852	    3313	   1.346	   1.725	    18	 49800	     0	 -                                                                                                   
J225154-314520      	 -.-.-     	 UVES      	   1.938	    3034	    3524	   1.495	   1.899	    13	 49800	     0	 -                                                                                                   
J225310-365815      	 -.-.-     	 UVES      	   3.200	    4337	    5038	   2.567	   3.144	    26	 73600	     0	 -                                                                                                   
J225357+160853      	 -.-.-     	 UVES      	   0.859	    1920	    2230	   0.579	   0.834	    13	 64000	     0	 -                                                                                                   
J225719-100104      	 -.-.-     	 UVES      	   2.080	    3180	    3694	   1.616	   2.039	    16	 49800	     0	 -                                                                                                   
J225805-275821      	 -.-.-     	 UVES      	   0.926	    1989	    2310	   0.636	   0.900	     3	 49800	     0	 -                                                                                                   
J230001-341319      	 -.-.-     	 UVES      	   2.200	    3304	    3838	   1.718	   2.157	     9	 59800	     0	 -                                                                                                   
J231359-370446      	 -.-.-     	 UVES      	   2.476	    3589	    4169	   1.952	   2.430	    11	 49800	     0	 -                                                                                                   
J231646-404120      	 -.-.-     	 UVES      	   2.448	    3560	    4136	   1.929	   2.402	    11	 49800	     0	 -                                                                                                   
J231857-095551      	 -.-.-     	 UVES      	   2.665	    3784	    4396	   2.113	   2.616	    13	 59800	     0	 -                                                                                                   
J232046-294406      	 -.-.-     	 UVES      	   2.401	    3512	    4079	   1.889	   2.356	     7	 45500	     0	 -                                                                                                   
J232059-295521      	 -.-.-     	 UVES      	   2.317	    3425	    3979	   1.817	   2.273	     4	 45500	     0	 -                                                                                                   
J232114-294723      	 -.-.-     	 UVES      	   2.677	    3797	    4410	   2.123	   2.628	    10	 45500	     0	 -                                                                                                   
J232115+142131      	 -.-.-     	 UVES      	   2.571	    3687	    4283	   2.033	   2.523	     4	 49800	     0	 -                                                                                                   
J232121-294350      	 -.-.-     	 UVES      	   2.184	    3288	    3819	   1.704	   2.142	     5	 45500	     0	 -                                                                                                   
J232128-105122      	 -.-.-     	 UVES      	   2.960	    4089	    4750	   2.364	   2.907	     9	 59800	     0	 -                                                                                                   
J232820+002238      	 -.-.-     	 UVES      	   1.306	    2381	    2766	   0.959	   1.275	    16	 49800	     0	 -                                                                                                   
J232917-473019      	 -.-.-     	 UVES      	   1.299	    2374	    2758	   0.953	   1.268	     5	 49800	     0	 -                                                                                                   
J233156-090802      	 -.-.-     	 UVES      	   2.661	    3780	    4391	   2.110	   2.612	    15	 41500	     0	 -                                                                                                   
J233446-090812      	 -.-.-     	 UVES      	   3.317	    4458	    5178	   2.667	   3.259	    36	 49800	     0	 -                                                                                                   
J233544+150118      	 -.-.-     	 UVES      	   0.790	    1848	    2147	   0.520	   0.766	    13	 49800	     0	 -                                                                                                   
J233756-175220      	 -.-.-     	 UVES      	   1.446	    2526	    2934	   1.078	   1.413	     4	 49800	     0	 -                                                                                                   
J234256-032226      	 -.-.-     	 UVES      	   0.892	    1954	    2269	   0.607	   0.867	     5	 49800	     0	 -                                                                                                   
J234403+034226      	 -.-.-     	 UVES      	   4.239	    5410	    6284	   3.450	   4.169	    26	 47800	     0	 -                                                                                                   
J234451+343348      	 -.-.-     	 UVES      	   3.053	    4185	    4861	   2.443	   2.999	    13	 49800	     0	 -                                                                                                   
J234512-433814      	 -.-.-     	 UVES      	   3.190	    4326	    5026	   2.559	   3.134	    21	 59800	     0	 -                                                                                                   
J234625+124743      	 -.-.-     	 UVES      	   2.568	    3684	    4280	   2.031	   2.520	    11	 59800	     0	 -                                                                                                   
J234628+124858      	 -.-.-     	 UVES      	   2.515	    3629	    4216	   1.986	   2.468	    30	 49800	     0	 -                                                                                                   
J234646+124526      	 -.-.-     	 UVES      	   2.773	    3896	    4526	   2.205	   2.723	     0	     0	     0	 -                                                                                                   
J234819+005717      	 -.-.-     	 UVES      	   2.145	    3247	    3772	   1.671	   2.103	     6	 49800	     0	 -                                                                                                   
J234819+005721      	 -.-.-     	 UVES      	   2.163	    3266	    3794	   1.687	   2.121	    12	 49800	     0	 -                                                                                                   
J234825+002040      	 -.-.-     	 UVES      	   2.651	    3770	    4379	   2.101	   2.602	     8	 59800	     0	 -                                                                                                   
J234913-371259      	 -.-.-     	 UVES      	   4.208	    5378	    6247	   3.424	   4.139	     9	 47800	     0	 -                                                                                                   
J235034-432559      	 -.-.-     	 UVES      	   2.885	    4011	    4660	   2.300	   2.833	   203	 49800	     0	 +                                                                                                   
J235057-005209      	 -.-.-     	 UVES      	   3.021	    4152	    4823	   2.415	   2.967	    12	 59800	     0	 -                                                                                                   
J235129-142756      	 -.-.-     	 UVES      	   2.940	    4068	    4726	   2.347	   2.887	    45	 49800	     0	 -                                                                                                   
J235534-395355      	 -.-.-     	 UVES      	   1.580	    2664	    3095	   1.191	   1.546	     9	 49800	     0	 -                                                                                                   
J235600-682003      	 -.-.-     	 UVES      	   2.751	    3873	    4499	   2.186	   2.701	    16	 49800	     0	 -                                                                                                   
J235702-004824      	 -.-.-     	 UVES      	   2.998	    4128	    4795	   2.396	   2.945	    20	 49800	     0	 -                                                                                                   
J235714-273659      	 -.-.-     	 UVES      	   1.732	    2821	    3277	   1.320	   1.696	     3	 41500	     0	 -                                                                                                   
J235731-112539      	 -.-.-     	 UVES      	   0.960	    2024	    2351	   0.665	   0.934	     2	 49800	     0	 -                                                                                                   
J235953-124147      	 -.-.-     	 UVES      	   0.868	    1929	    2241	   0.587	   0.843	    13	 49800	     0	 -                                                                                                   
