name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J013405+005109      	 -.-.-     	 UVES      	   1.520	    2602	    3023	   1.140	   1.486	     9	 49800	     0	 -                                                                                                   
J013442-413611      	 -.-.-     	 UVES      	   0.172	    1210	    1406	  -0.005	   0.156	     5	 49800	     0	 -                                                                                                   
J013724-422417      	 -.-.-     	 UVES      	   3.970	    5132	    5961	   3.221	   3.904	    13	 47800	     0	 -                                                                                                   
J013738-243053      	 -.-.-     	 UVES      	   0.837	    1897	    2203	   0.560	   0.813	     6	 49800	     0	 -                                                                                                   
J013754-270736      	 -.-.-     	 UVES      	   3.210	    4347	    5050	   2.576	   3.154	    10	 49800	     0	 -                                                                                                   
J013825-000534      	 -.-.-     	 UVES      	   1.340	    2416	    2807	   0.988	   1.309	     8	 49800	     0	 -                                                                                                   
J013857-225447      	 -.-.-     	 UVES      	   1.893	    2987	    3470	   1.457	   1.854	    55	 41500	     0	 -                                                                                                   
J013901-082444      	 -.-.-     	 UVES      	   3.013	    4144	    4813	   2.409	   2.959	     4	 49800	     0	 -                                                                                                   
J014049-083942      	 -.-.-     	 UVES      	   3.713	    4866	    5653	   3.003	   3.650	    32	 47800	     0	 -                                                                                                   
J014125-092843      	 -.-.-     	 UVES      	   0.062	    1097	    1274	  -0.098	   0.048	     6	 49800	     0	 -                                                                                                   
J014214+002324      	 -.-.-     	 UVES      	   3.370	    4512	    5242	   2.712	   3.312	    39	 49800	     0	 -                                                                                                   
J014333-391700      	 -.-.-     	 UVES      	   1.807	    2898	    3367	   1.384	   1.770	    64	 49800	     0	 -                                                                                                   
J014631+133506      	 -.-.-     	 UVES      	   0.689	    1744	    2026	   0.435	   0.666	     0	     0	     0	 -                                                                                                   
J014717+125808      	 -.-.-     	 UVES      	   1.499	    2580	    2997	   1.123	   1.466	     5	 41500	     0	 -                                                                                                   
J015318+000911      	 -.-.-     	 UVES      	   0.837	    1897	    2203	   0.560	   0.813	    19	 49800	     0	 -                                                                                                   
J015327-431137      	 -.-.-     	 UVES      	   2.740	    3862	    4486	   2.177	   2.690	   113	 49800	     0	 +                                                                                                   
J015733-004824      	 -.-.-     	 UVES      	   1.549	    2632	    3057	   1.165	   1.515	     6	 49800	     0	 -                                                                                                   
J015741-104340      	 -.-.-     	 UVES      	   0.616	    1669	    1938	   0.373	   0.594	     4	 49800	     0	 -                                                                                                   
J020157-113233      	 -.-.-     	 UVES      	   0.669	    1723	    2002	   0.418	   0.647	     7	 49800	     0	 -                                                                                                   
J020346+113445      	 -.-.-     	 UVES      	   3.639	    4790	    5564	   2.940	   3.577	     0	     0	     0	 -                                                                                                   
J020457-170119      	 -.-.-     	 UVES      	   1.740	    2829	    3287	   1.327	   1.703	     9	 49800	     0	 -                                                                                                   
J020900-455026      	 -.-.-     	 UVES      	   2.520	    3635	    4222	   1.990	   2.473	     0	     0	     0	 -                                                                                                   
J020944+051713      	 -.-.-     	 UVES      	   4.184	    5353	    6218	   3.403	   4.115	    30	 47800	     0	 -                                                                                                   
J021043-001818      	 -.-.-     	 UVES      	   4.650	    5834	    6777	   3.799	   4.575	    23	 41100	     0	 -                                                                                                   
